;code;nom;Description;unité;Emballage;Dévise;P. Revient en devise;price;Prix de Vente;Genre;Marque;Fournisseur
;3346470100343    ;HERITAGE 100ML                 ;;PCE;;$US;0,00;188;554 600,00;HOMME            ;;
;3346470304918    ;HERITAGE EDP 100 ML            ;;PCE;;$US;0,00;188;554 600,00;HOMME            ;;
;3760168591280;HERMANN A MES COTES EDP 100ML;;PCE;;$US;0,00;220;649 000,00;MIXTE            ;ETAT LIBRE D'ORANGE;
;3700578507006;HEROD EDP 125ML;;PCE;;$US;0,00;350;1 032 500,00;MIXTE            ;PARFUMS DE MARLY;
;3701002701663;HEURES D'ABSENSE EDP 200ML;;PCE;;$US;0,00;510;1 504 500,00;MIXTE            ;LOUIS VUITTON;
;3701002701649;HEURES DABSENCE EDP 100ML      ;;PCE;;$US;0,00;350;1 032 500,00;FEMME            ;;
;3508441001084;HIMALAYA EDP                   ;;PCE;;$US;0,00;325;958 750,00;HOMME            ;;
;3508440505088    ;HIMALAYA EDP 50ML              ;;PCE;;$US;0,00;275;811 250,00;MIXTE            ;;
;3660463011776;HISTOIRE D'ORANGERS EDP 100ML;;PCE;;$US;0,00;235;693 250,00;#N/A;L'ARTISAN PARFUMEUR;
;20310263999992   ;HOLIDAY MOOD EDC 100ML         ;;PCE;;$US;0,00;25;73 750,00;ENFANT           ;;
;8719134045543    ;HOLY LOTUS 3G                  ;;PCE;;$US;30,00;30;88 500,00;MIXTE            ;;
